title,url,replies,views,cleaned_title,sentiment
Canadian PM Justin Trudeau visits Trump at Mar-a-Lago amid steep tariff threats,https://debatepolitics.com/threads/canadian-pm-justin-trudeau-visits-trump-at-mar-a-lago-amid-steep-tariff-threats.556312/,391,3K,canadian pm justin trudeau visit trump maralago amid steep tariff threat,0.0
Pete Hegseth,https://debatepolitics.com/threads/pete-hegseth.556510/,91,721,pete hegseth,0.0
(CNN) Democrats’ flip in California concludes final unresolved US House race,https://debatepolitics.com/threads/cnn-democrats%E2%80%99-flip-in-california-concludes-final-unresolved-us-house-race.556639/,108,603,cnn democrat flip california concludes final unresolved u house race,0.0
"""You're fired!"" Trump to replace White House Counsel before he's even started his term.",https://debatepolitics.com/threads/youre-fired-trump-to-replace-white-house-counsel-before-hes-even-started-his-term.556654/,33,294,youre fired trump replace white house counsel he even started term,0.0
Republicans worry Trump will follow through with his policies,https://debatepolitics.com/threads/republicans-worry-trump-will-follow-through-with-his-policies.556704/,51,381,republican worry trump follow policy,0.0
"""i think i could get rich selling volcano insurance to professional black republicans""",https://debatepolitics.com/threads/i-think-i-could-get-rich-selling-volcano-insurance-to-professional-black-republicans.556593/,43,378,think could get rich selling volcano insurance professional black republican,0.10277777777777779
[W: #1063] 2024 Presidential Election night discussion,https://debatepolitics.com/threads/w-1063-2024-presidential-election-night-discussion.554288/,4K,30K,w presidential election night discussion,0.0
Trump considers DeSantis for Defense secretary as Hegseth appears to falter,https://debatepolitics.com/threads/trump-considers-desantis-for-defense-secretary-as-hegseth-appears-to-falter.556618/,80,372,trump considers desantis defense secretary hegseth appears falter,0.0
I Wonder What They Found In His Dumpster,https://debatepolitics.com/threads/i-wonder-what-they-found-in-his-dumpster.556580/,16,199,wonder found dumpster,0.0
Is Trump Building an Economy That Will Give a Short-Term Boost to the Rich but Throw the U.S. into Economic Disaster in the Long Run?,https://debatepolitics.com/threads/is-trump-building-an-economy-that-will-give-a-short-term-boost-to-the-rich-but-throw-the-u-s-into-economic-disaster-in-the-long-run.551607/,46,697,trump building economy give shortterm boost rich throw u economic disaster long run,0.17499999999999996
Trump’s No 2 Pick At DOD,https://debatepolitics.com/threads/trump%E2%80%99s-no-2-pick-at-dod.556574/,2,111,trump pick dod,0.0
